date,code,value
2020-10-28,8A580,0
2020-10-29,8A580,0
2020-10-30,8A580,0
2020-10-31,8A580,0
2020-11-01,8A580,0
2020-11-02,8A580,0
2020-11-03,8A580,0
2020-11-04,8A580,0
2020-11-05,8A580,0
2020-11-06,8A580,0
2020-11-07,8A580,0
2020-11-08,8A580,0
2020-11-09,8A580,0
2020-11-10,8A580,0
2020-11-11,8A580,0
2020-11-12,8A580,0
2020-11-13,8A580,0
2020-11-14,8A580,0
2020-11-15,8A580,0
2020-11-16,8A580,0
2020-11-17,8A580,0
2020-11-18,8A580,0
2020-11-19,8A580,0
2020-11-20,8A580,0
2020-11-21,8A580,0
2020-11-22,8A580,0
2020-11-23,8A580,0
2020-11-24,8A580,0
2020-11-25,8A580,0
2020-11-26,8A580,0
2020-11-27,8A580,0
2020-11-28,8A580,0
2020-11-29,8A580,0
2020-11-30,8A580,0
2020-12-01,8A580,0
2020-12-02,8A580,0
2020-12-03,8A580,0
2020-12-04,8A580,0
2020-12-05,8A580,0
2020-12-06,8A580,0
2020-12-07,8A580,0
2020-12-08,8A580,0
2020-12-09,8A580,0
2020-12-10,8A580,0
2020-12-11,8A580,0
2020-12-12,8A580,0
2020-12-13,8A580,0
2020-12-14,8A580,0
2020-12-15,8A580,0
2020-12-16,8A580,0
2020-12-17,8A580,0
2020-12-18,8A580,0
2020-12-19,8A580,0
2020-12-20,8A580,0
2020-12-21,8A580,0
2020-12-22,8A580,0
2020-12-23,8A580,0
2020-12-24,8A580,0
2020-12-25,8A580,0
2020-12-26,8A580,0
2020-12-27,8A580,0
2020-12-28,8A580,0
2020-12-29,8A580,0
2020-12-30,8A580,0
2020-12-31,8A580,0
2021-01-01,8A580,0
2021-01-02,8A580,0
2021-01-03,8A580,0
2021-01-04,8A580,0
2021-01-05,8A580,0
2021-01-06,8A580,0
2020-03-19,8A718,0
2020-03-20,8A718,0
2020-03-21,8A718,0
2020-03-22,8A718,0
2020-03-23,8A718,0
2020-03-24,8A718,0
2020-03-25,8A718,0
2020-03-26,8A718,0
2020-03-27,8A718,0
2020-03-28,8A718,0
2020-03-29,8A718,0
2020-03-30,8A718,0
2020-03-31,8A718,0
2020-04-01,8A718,0
2020-04-02,8A718,0
2020-04-03,8A718,0
2020-04-04,8A718,0
2020-04-05,8A718,0
2020-04-06,8A718,0
2020-04-07,8A718,0
2020-04-08,8A718,0
2020-04-09,8A718,0
2020-04-10,8A718,0
2020-04-11,8A718,0
2020-04-12,8A718,0
2020-04-13,8A718,0
2020-04-14,8A718,0
2020-04-15,8A718,0
2020-04-16,8A718,0
2020-04-17,8A718,0
2020-04-18,8A718,0
2020-04-19,8A718,0
2020-04-20,8A718,0
2020-04-21,8A718,0
2020-04-22,8A718,0
2020-04-23,8A718,0
2020-04-24,8A718,0
2020-04-25,8A718,0
2020-04-26,8A718,0
2020-04-27,8A718,0
2020-04-28,8A718,0
2020-04-29,8A718,0
2020-04-30,8A718,0
2020-05-01,8A718,0
2020-05-02,8A718,0
2020-05-03,8A718,0
2020-05-04,8A718,0
2020-05-05,8A718,0
2020-05-06,8A718,0
2020-05-07,8A718,0
2020-05-08,8A718,0
2020-05-09,8A718,0
2020-05-10,8A718,0
2020-05-11,8A718,0
2020-05-12,8A718,0
2020-05-13,8A718,0
2020-05-14,8A718,0
2020-05-15,8A718,0
2020-05-16,8A718,0
2020-05-17,8A718,0
2020-05-18,8A718,0
2020-05-19,8A718,0
2020-05-20,8A718,0
2020-05-21,8A718,0
2020-05-22,8A718,0
2020-05-23,8A718,0
2020-05-24,8A718,0
2020-05-25,8A718,0
2020-05-26,8A718,0
2020-05-27,8A718,0
2020-05-28,8A718,0
2020-05-29,8A718,0
2020-05-30,8A718,0
2020-05-31,8A718,0
2020-06-01,8A718,0
2020-06-02,8A718,0
2020-06-03,8A718,0
2020-06-04,8A718,0
2020-06-05,8A718,0
2020-06-06,8A718,0
2020-06-07,8A718,0
2020-06-08,8A718,0
2020-06-09,8A718,0
2020-06-10,8A718,0
2020-06-11,8A718,0
2020-06-12,8A718,0
2020-06-13,8A718,0
2020-06-14,8A718,0
2020-06-15,8A718,0
2020-06-16,8A718,0
2020-06-17,8A718,0
2020-06-18,8A718,0
2020-06-19,8A718,0
2020-06-20,8A718,0
2020-06-21,8A718,0
2020-06-22,8A718,0
2020-06-23,8A718,0
2020-06-24,8A718,0
2020-06-25,8A718,0
2020-06-26,8A718,0
2020-06-27,8A718,0
2020-06-28,8A718,0
2020-06-29,8A718,0
2020-06-30,8A718,0
2020-07-01,8A718,0
2020-07-02,8A718,0
2020-07-03,8A718,0
2020-07-04,8A718,0
2020-07-05,8A718,0
2020-07-06,8A718,0
2020-07-07,8A718,0
2020-07-08,8A718,0
2020-07-09,8A718,0
2020-07-10,8A718,0
2020-07-11,8A718,0
2020-07-12,8A718,0
2020-07-13,8A718,0
2020-07-14,8A718,0
2020-07-15,8A718,0
2020-07-16,8A718,0
2020-07-17,8A718,0
2020-07-18,8A718,0
2020-07-19,8A718,0
2020-07-20,8A718,0
2020-07-21,8A718,0
2020-07-22,8A718,0
2020-07-23,8A718,0
2020-07-24,8A718,0
2020-07-25,8A718,0
2020-07-26,8A718,0
2020-07-27,8A718,0
2020-07-28,8A718,0
2020-07-29,8A718,0
2020-07-30,8A718,0
2020-07-31,8A718,0
2020-08-01,8A718,0
2020-08-02,8A718,0
2020-08-03,8A718,0
2020-08-04,8A718,0
2020-08-05,8A718,0
2020-08-06,8A718,0
2020-08-07,8A718,0
2020-08-08,8A718,0
2020-08-09,8A718,0
2020-08-10,8A718,0
2020-08-11,8A718,0
2020-08-12,8A718,0
2020-08-13,8A718,0
2020-08-14,8A718,0
2020-08-15,8A718,0
2020-08-16,8A718,0
2020-08-17,8A718,0
2020-08-18,8A718,0
2020-08-19,8A718,0
2020-08-20,8A718,0
2020-08-21,8A718,0
2020-08-22,8A718,0
2020-08-23,8A718,0
2020-08-24,8A718,0
2020-08-25,8A718,0
2020-08-26,8A718,0
2020-08-27,8A718,0
2020-08-28,8A718,0
2020-08-29,8A718,0
2020-08-30,8A718,0
2020-08-31,8A718,0
2020-09-01,8A718,0
2020-09-02,8A718,0
2020-09-03,8A718,0
2020-09-04,8A718,0
2020-09-05,8A718,0
2020-09-06,8A718,0
2020-09-07,8A718,0
2020-09-08,8A718,0
2020-09-09,8A718,0
2020-09-10,8A718,0
2020-09-11,8A718,0
2020-09-12,8A718,0
2020-09-13,8A718,0
2020-09-14,8A718,0
2020-09-15,8A718,0
2020-09-16,8A718,0
2020-09-17,8A718,0
2020-09-18,8A718,0
2020-09-19,8A718,0
2020-09-20,8A718,0
2020-09-21,8A718,0
2020-09-22,8A718,0
2020-09-23,8A718,0
2020-09-24,8A718,0
2020-09-25,8A718,0
2020-09-26,8A718,0
2020-09-27,8A718,0
2020-09-28,8A718,0
2020-09-29,8A718,0
2020-09-30,8A718,0
2020-10-01,8A718,0
2020-10-02,8A718,0
2020-10-03,8A718,0
2020-10-04,8A718,0
2020-10-05,8A718,0
2020-10-06,8A718,0
2020-10-07,8A718,0
2020-10-08,8A718,0
2020-10-09,8A718,0
2020-10-10,8A718,0
2020-10-11,8A718,0
2020-10-12,8A718,0
2020-10-13,8A718,0
2020-10-14,8A718,0
2020-10-15,8A718,0
2020-10-16,8A718,0
2020-10-17,8A718,0
2020-10-18,8A718,0
2020-10-19,8A718,0
2020-10-20,8A718,0
2020-10-21,8A718,0
2020-10-22,8A718,0
2020-10-23,8A718,0
2020-10-24,8A718,0
2020-10-25,8A718,0
2020-10-26,8A718,0
2020-10-27,8A718,0
2020-10-28,8A718,0
2020-10-29,8A718,0
2020-10-30,8A718,0
2020-10-31,8A718,0
2020-11-01,8A718,0
2020-11-02,8A718,0
2020-11-03,8A718,0
2020-11-04,8A718,0
2020-11-05,8A718,0
2020-11-06,8A718,0
2020-11-07,8A718,0
2020-11-08,8A718,0
2020-11-09,8A718,0
2020-11-10,8A718,0
2020-11-11,8A718,0
2020-11-12,8A718,0
2020-11-13,8A718,0
2020-11-14,8A718,0
2020-11-15,8A718,0
2020-11-16,8A718,0
2020-11-17,8A718,0
2020-11-18,8A718,0
2020-11-19,8A718,0
2020-11-20,8A718,0
2020-11-21,8A718,0
2020-11-22,8A718,0
2020-11-23,8A718,0
2020-11-24,8A718,0
2020-11-25,8A718,0
2020-11-26,8A718,0
2020-11-27,8A718,0
2020-11-28,8A718,0
2020-11-29,8A718,0
2020-11-30,8A718,0
2020-12-01,8A718,0
2020-12-02,8A718,0
2020-12-03,8A718,0
2020-12-04,8A718,0
2020-12-05,8A718,0
2020-12-06,8A718,0
2020-12-07,8A718,0
2020-12-08,8A718,0
2020-12-09,8A718,0
2020-12-10,8A718,0
2020-12-11,8A718,0
2020-12-12,8A718,0
2020-12-13,8A718,0
2020-12-14,8A718,0
2020-12-15,8A718,0
2020-12-16,8A718,0
2020-12-17,8A718,0
2020-12-18,8A718,0
2020-12-19,8A718,0
2020-12-20,8A718,0
2020-12-21,8A718,0
2020-12-22,8A718,0
2020-12-23,8A718,0
2020-12-24,8A718,0
2020-12-25,8A718,0
2020-12-26,8A718,0
2020-12-27,8A718,0
2020-12-28,8A718,0
2020-12-29,8A718,0
2020-12-30,8A718,0
2020-12-31,8A718,0
2021-01-01,8A718,0
2021-01-02,8A718,0
2021-01-03,8A718,0
2021-01-04,8A718,0
2021-01-05,8A718,0
2021-01-06,8A718,0
2020-03-19,8CM63,0
2020-03-20,8CM63,0
2020-03-21,8CM63,0
2020-03-22,8CM63,0
2020-03-23,8CM63,0
2020-03-24,8CM63,0
2020-03-25,8CM63,0
2020-03-26,8CM63,0
2020-03-27,8CM63,0
2020-03-28,8CM63,0
2020-03-29,8CM63,0
2020-03-30,8CM63,0
2020-03-31,8CM63,0
2020-04-01,8CM63,0
2020-04-02,8CM63,0
2020-04-03,8CM63,0
2020-04-04,8CM63,0
2020-04-05,8CM63,0
2020-04-06,8CM63,0
2020-04-07,8CM63,0
2020-04-08,8CM63,0
2020-04-09,8CM63,0
2020-04-10,8CM63,0
2020-04-11,8CM63,0
2020-04-12,8CM63,0
2020-04-13,8CM63,0
2020-04-14,8CM63,0
2020-04-15,8CM63,0
2020-04-16,8CM63,0
2020-04-17,8CM63,0
2020-04-18,8CM63,0
2020-04-19,8CM63,0
2020-04-20,8CM63,0
2020-04-21,8CM63,0
2020-04-22,8CM63,0
2020-04-23,8CM63,0
2020-04-24,8CM63,0
2020-04-25,8CM63,0
2020-04-26,8CM63,0
2020-04-27,8CM63,0
2020-04-28,8CM63,0
2020-04-29,8CM63,0
2020-04-30,8CM63,0
2020-05-01,8CM63,0
2020-05-02,8CM63,0
2020-05-03,8CM63,0
2020-05-04,8CM63,0
2020-05-05,8CM63,0
2020-05-06,8CM63,0
2020-05-07,8CM63,0
2020-05-08,8CM63,0
2020-05-09,8CM63,0
2020-05-10,8CM63,0
2020-05-11,8CM63,0
2020-05-12,8CM63,0
2020-05-13,8CM63,0
2020-05-14,8CM63,0
2020-05-15,8CM63,0
2020-05-16,8CM63,0
2020-05-17,8CM63,0
2020-05-18,8CM63,0
2020-05-19,8CM63,0
2020-05-20,8CM63,0
2020-05-21,8CM63,0
2020-05-22,8CM63,0
2020-05-23,8CM63,0
2020-05-24,8CM63,0
2020-05-25,8CM63,0
2020-05-26,8CM63,0
2020-05-27,8CM63,0
2020-05-28,8CM63,0
2020-05-29,8CM63,0
2020-05-30,8CM63,0
2020-05-31,8CM63,0
2020-06-01,8CM63,0
2020-06-02,8CM63,0
2020-06-03,8CM63,0
2020-06-04,8CM63,0
2020-06-05,8CM63,0
2020-06-06,8CM63,0
2020-06-07,8CM63,0
2020-06-08,8CM63,0
2020-06-09,8CM63,0
2020-06-10,8CM63,0
2020-06-11,8CM63,0
2020-06-12,8CM63,0
2020-06-13,8CM63,0
2020-06-14,8CM63,0
2020-06-15,8CM63,0
2020-06-16,8CM63,0
2020-06-17,8CM63,0
2020-06-18,8CM63,0
2020-06-19,8CM63,0
2020-06-20,8CM63,0
2020-06-21,8CM63,0
2020-06-22,8CM63,0
2020-06-23,8CM63,0
2020-06-24,8CM63,0
2020-06-25,8CM63,0
2020-06-26,8CM63,0
2020-06-27,8CM63,0
2020-06-28,8CM63,0
2020-06-29,8CM63,0
2020-06-30,8CM63,0
2020-07-01,8CM63,0
2020-07-02,8CM63,0
2020-07-03,8CM63,0
2020-07-04,8CM63,0
2020-07-05,8CM63,0
2020-07-06,8CM63,0
2020-07-07,8CM63,0
2020-07-08,8CM63,0
2020-07-09,8CM63,0
2020-07-10,8CM63,0
2020-07-11,8CM63,0
2020-07-12,8CM63,0
2020-07-13,8CM63,0
2020-07-14,8CM63,0
2020-07-15,8CM63,0
2020-07-16,8CM63,0
2020-07-17,8CM63,0
2020-07-18,8CM63,0
2020-07-19,8CM63,0
2020-07-20,8CM63,0
2020-07-21,8CM63,0
2020-07-22,8CM63,0
2020-07-23,8CM63,0
2020-07-24,8CM63,0
2020-07-25,8CM63,0
2020-07-26,8CM63,0
2020-07-27,8CM63,0
2020-07-28,8CM63,0
2020-07-29,8CM63,0
2020-07-30,8CM63,0
2020-07-31,8CM63,0
2020-08-01,8CM63,0
2020-08-02,8CM63,0
2020-08-03,8CM63,0
2020-08-04,8CM63,0
2020-08-05,8CM63,0
2020-08-06,8CM63,0
2020-08-07,8CM63,0
2020-08-08,8CM63,0
2020-08-09,8CM63,0
2020-08-10,8CM63,0
2020-08-11,8CM63,0
2020-08-12,8CM63,0
2020-08-13,8CM63,0
2020-08-14,8CM63,0
2020-08-15,8CM63,0
2020-08-16,8CM63,0
2020-08-17,8CM63,0
2020-08-18,8CM63,0
2020-08-19,8CM63,0
2020-08-20,8CM63,0
2020-08-21,8CM63,0
2020-08-22,8CM63,0
2020-08-23,8CM63,0
2020-08-24,8CM63,0
2020-08-25,8CM63,0
2020-08-26,8CM63,0
2020-08-27,8CM63,0
2020-08-28,8CM63,0
2020-08-29,8CM63,0
2020-08-30,8CM63,0
2020-08-31,8CM63,0
2020-09-01,8CM63,0
2020-09-02,8CM63,0
2020-09-03,8CM63,0
2020-09-04,8CM63,0
2020-09-05,8CM63,0
2020-09-06,8CM63,0
2020-09-07,8CM63,0
2020-09-08,8CM63,0
2020-09-09,8CM63,0
2020-09-10,8CM63,0
2020-09-11,8CM63,0
2020-09-12,8CM63,0
2020-09-13,8CM63,0
2020-09-14,8CM63,0
2020-09-15,8CM63,0
2020-09-16,8CM63,0
2020-09-17,8CM63,0
2020-09-18,8CM63,0
2020-09-19,8CM63,0
2020-09-20,8CM63,0
2020-09-21,8CM63,0
2020-09-22,8CM63,0
2020-09-23,8CM63,0
2020-09-24,8CM63,0
2020-09-25,8CM63,0
2020-09-26,8CM63,0
2020-09-27,8CM63,0
2020-09-28,8CM63,0
2020-09-29,8CM63,0
2020-09-30,8CM63,0
2020-10-01,8CM63,0
2020-10-02,8CM63,0
2020-10-03,8CM63,0
2020-10-04,8CM63,0
2020-10-05,8CM63,0
2020-10-06,8CM63,0
2020-10-07,8CM63,0
2020-10-08,8CM63,0
2020-10-09,8CM63,0
2020-10-10,8CM63,0
2020-10-11,8CM63,0
2020-10-12,8CM63,0
2020-10-13,8CM63,0
2020-10-14,8CM63,0
2020-10-15,8CM63,0
2020-10-16,8CM63,0
2020-10-17,8CM63,0
2020-10-18,8CM63,0
2020-10-19,8CM63,0
2020-10-20,8CM63,0
2020-10-21,8CM63,0
2020-10-22,8CM63,0
2020-10-23,8CM63,0
2020-10-24,8CM63,0
2020-10-25,8CM63,0
2020-10-26,8CM63,0
2020-10-27,8CM63,0
2020-10-28,8CM63,0
2020-10-29,8CM63,0
2020-10-30,8CM63,0
2020-10-31,8CM63,0
2020-11-01,8CM63,0
2020-11-02,8CM63,0
2020-11-03,8CM63,0
2020-11-04,8CM63,0
2020-11-05,8CM63,0
2020-11-06,8CM63,0
2020-11-07,8CM63,0
2020-11-08,8CM63,0
2020-11-09,8CM63,0
2020-11-10,8CM63,0
2020-11-11,8CM63,0
2020-11-12,8CM63,0
2020-11-13,8CM63,0
2020-11-14,8CM63,0
2020-11-15,8CM63,0
2020-11-16,8CM63,0
2020-11-17,8CM63,0
2020-11-18,8CM63,0
2020-11-19,8CM63,0
2020-11-20,8CM63,0
2020-11-21,8CM63,0
2020-11-22,8CM63,0
2020-11-23,8CM63,0
2020-11-24,8CM63,0
2020-11-25,8CM63,0
2020-11-26,8CM63,0
2020-11-27,8CM63,0
2020-11-28,8CM63,0
2020-11-29,8CM63,0
2020-11-30,8CM63,0
2020-12-01,8CM63,0
2020-12-02,8CM63,0
2020-12-03,8CM63,0
2020-12-04,8CM63,0
2020-12-05,8CM63,0
2020-12-06,8CM63,0
2020-12-07,8CM63,0
2020-12-08,8CM63,0
2020-12-09,8CM63,0
2020-12-10,8CM63,0
2020-12-11,8CM63,0
2020-12-12,8CM63,0
2020-12-13,8CM63,0
2020-12-14,8CM63,0
2020-12-15,8CM63,0
2020-12-16,8CM63,0
2020-12-17,8CM63,0
2020-12-18,8CM63,0
2020-12-19,8CM63,0
2020-12-20,8CM63,0
2020-12-21,8CM63,0
2020-12-22,8CM63,0
2020-12-23,8CM63,0
2020-12-24,8CM63,0
2020-12-25,8CM63,0
2020-12-26,8CM63,0
2020-12-27,8CM63,0
2020-12-28,8CM63,0
2020-12-29,8CM63,0
2020-12-30,8CM63,0
2020-12-31,8CM63,0
2021-01-01,8CM63,0
2021-01-02,8CM63,0
2021-01-03,8CM63,0
2021-01-04,8CM63,0
2021-01-05,8CM63,0
2021-01-06,8CM63,0
2020-03-19,8HE28,0
2020-03-20,8HE28,0
2020-03-21,8HE28,0
2020-03-22,8HE28,0
2020-03-23,8HE28,0
2020-03-24,8HE28,0
2020-03-25,8HE28,0
2020-03-26,8HE28,0
2020-03-27,8HE28,0
2020-03-28,8HE28,0
2020-03-29,8HE28,0
2020-03-30,8HE28,0
2020-03-31,8HE28,0
2020-04-01,8HE28,0
2020-04-02,8HE28,0
2020-04-03,8HE28,0
2020-04-04,8HE28,0
2020-04-05,8HE28,0
2020-04-06,8HE28,0
2020-04-07,8HE28,0
2020-04-08,8HE28,0
2020-04-09,8HE28,0
2020-04-10,8HE28,0
2020-04-11,8HE28,0
2020-04-12,8HE28,0
2020-04-13,8HE28,0
2020-04-14,8HE28,0
2020-04-15,8HE28,0
2020-04-16,8HE28,0
2020-04-17,8HE28,0
2020-04-18,8HE28,0
2020-04-19,8HE28,0
2020-04-20,8HE28,0
2020-04-21,8HE28,0
2020-04-22,8HE28,0
2020-04-23,8HE28,0
2020-04-24,8HE28,0
2020-04-25,8HE28,0
2020-04-26,8HE28,0
2020-04-27,8HE28,0
2020-04-28,8HE28,0
2020-04-29,8HE28,1
2020-04-30,8HE28,0
2020-05-01,8HE28,0
2020-05-02,8HE28,0
2020-05-03,8HE28,0
2020-05-04,8HE28,0
2020-05-05,8HE28,0
2020-05-06,8HE28,0
2020-05-07,8HE28,0
2020-05-08,8HE28,0
2020-05-09,8HE28,0
2020-05-10,8HE28,0
2020-05-11,8HE28,0
2020-05-12,8HE28,0
2020-05-13,8HE28,0
2020-05-14,8HE28,0
2020-05-15,8HE28,0
2020-05-16,8HE28,0
2020-05-17,8HE28,0
2020-05-18,8HE28,0
2020-05-19,8HE28,0
2020-05-20,8HE28,0
2020-05-21,8HE28,0
2020-05-22,8HE28,0
2020-05-23,8HE28,0
2020-05-24,8HE28,0
2020-05-25,8HE28,0
2020-05-26,8HE28,0
2020-05-27,8HE28,0
2020-05-28,8HE28,0
2020-05-29,8HE28,0
2020-05-30,8HE28,0
2020-05-31,8HE28,0
2020-06-01,8HE28,0
2020-06-02,8HE28,0
2020-06-03,8HE28,0
2020-06-04,8HE28,0
2020-06-05,8HE28,0
2020-06-06,8HE28,0
2020-06-07,8HE28,0
2020-06-08,8HE28,0
2020-06-09,8HE28,0
2020-06-10,8HE28,0
2020-06-11,8HE28,0
2020-06-12,8HE28,0
2020-06-13,8HE28,0
2020-06-14,8HE28,0
2020-06-15,8HE28,0
2020-06-16,8HE28,0
2020-06-17,8HE28,0
2020-06-18,8HE28,0
2020-06-19,8HE28,0
2020-06-20,8HE28,0
2020-06-21,8HE28,0
2020-06-22,8HE28,0
2020-06-23,8HE28,0
2020-06-24,8HE28,0
2020-06-25,8HE28,0
2020-06-26,8HE28,0
2020-06-27,8HE28,0
2020-06-28,8HE28,0
2020-06-29,8HE28,0
2020-06-30,8HE28,0
2020-07-01,8HE28,0
2020-07-02,8HE28,0
2020-07-03,8HE28,0
2020-07-04,8HE28,0
2020-07-05,8HE28,0
2020-07-06,8HE28,0
2020-07-07,8HE28,0
2020-07-08,8HE28,0
2020-07-09,8HE28,0
2020-07-10,8HE28,0
2020-07-11,8HE28,0
2020-07-12,8HE28,0
2020-07-13,8HE28,0
2020-07-14,8HE28,0
2020-07-15,8HE28,0
2020-07-16,8HE28,0
2020-07-17,8HE28,0
2020-07-18,8HE28,0
2020-07-19,8HE28,0
2020-07-20,8HE28,0
2020-07-21,8HE28,0
2020-07-22,8HE28,0
2020-07-23,8HE28,0
2020-07-24,8HE28,0
2020-07-25,8HE28,0
2020-07-26,8HE28,0
2020-07-27,8HE28,0
2020-07-28,8HE28,0
2020-07-29,8HE28,0
2020-07-30,8HE28,0
2020-07-31,8HE28,0
2020-08-01,8HE28,0
2020-08-02,8HE28,0
2020-08-03,8HE28,0
2020-08-04,8HE28,0
2020-08-05,8HE28,0
2020-08-06,8HE28,0
2020-08-07,8HE28,0
2020-08-08,8HE28,0
2020-08-09,8HE28,0
2020-08-10,8HE28,0
2020-08-11,8HE28,0
2020-08-12,8HE28,0
2020-08-13,8HE28,0
2020-08-14,8HE28,0
2020-08-15,8HE28,0
2020-08-16,8HE28,0
2020-08-17,8HE28,0
2020-08-18,8HE28,0
2020-08-19,8HE28,0
2020-08-20,8HE28,0
2020-08-21,8HE28,0
2020-08-22,8HE28,0
2020-08-23,8HE28,0
2020-08-24,8HE28,0
